406.  Dieses Buch ist ziemlich bekannt. ,  This book is pretty well-known., vocabulary-tag
407.  Du solltest mehr Wasser trinken. ,  You should drink more water ., vocabulary-tag
408.  Das ist die letzte Kiste! ,  This is the last box!, vocabulary-tag
409.  Ein einzelner Mensch sollte nicht zu viel Macht haben. ,  One single person should not have too much power ., vocabulary-tag
410.  Hast du den Verstand verloren ? ,  Have you lost your mind?, vocabulary-tag
411.  Woher kommt ihr? ,  Where are you from ?, vocabulary-tag
412.  Ich bin krank und darum kann ich nicht arbeiten gehen. ,  I am sick and that is why I cannot go to work., vocabulary-tag
413.  Die Firma hat einen ausgezeichneten Ruf . ,  The company has an excellent reputation ., vocabulary-tag
414.  Gestern Abend wurde die Polizei gerufen. ,  Yesterday evening the police was called., vocabulary-tag
415.  Ich habe keine Ahnung , wo sie ist. ,  I have no idea where she is., vocabulary-tag
416.  Hast du mir überhaupt zugehört? ,  Did you listen to me at all ?, vocabulary-tag
417.  Das ist eine fantastische Idee ! ,  That is a fantastic idea !, vocabulary-tag
418.  Ich habe eine Frage . ,  I have a question ., vocabulary-tag
419.  Dieser Ort ist irgendwie unheimlich. ,  This place is creepy somehow., vocabulary-tag
420.  Er würde lieber nach Hause gehen. ,  He would rather go home., vocabulary-tag
421.  Danke, für deine Hilfe! - Gerne , kein Problem. ,  Thank you for your help! - You're welcome!", vocabulary-tag
422.  Meine Schwester wohnt in Heidelberg. ,  Meine sister lives in Heidelberg., vocabulary-tag
423.  Dort oben liegen viele Magazine. ,  There are lots of magazines up there ., vocabulary-tag
424.  Das bedeutet , dass du keine Zeit hast. ,  That means you don’t have time., vocabulary-tag
425.  Jeder hat eine zweite Chance verdient. ,  Everyone deserves a second chance ., vocabulary-tag
426.  Ich schulde dir einen Gefallen . ,  I owe you a favor ., vocabulary-tag
427.  Wow! Dieser Wagen ist unglaublich! ,  Wow! This car is incredible!, vocabulary-tag
428.  Johannes wird uns durch den Wald führen . ,  Johannes will lead us through the forest., vocabulary-tag
429.  Jeder hat das Recht auf Freiheit. ,  Everyone has the right to freedom., vocabulary-tag
430.  Seine Tochter heißt Laura. ,  His daughter is called Laura., vocabulary-tag
431.  Meine Freundin aus Berlin ist gekommen . ,  My friend from Berlin came ., vocabulary-tag
432.  Dieser Teil der Geschichte ist spannend. ,  This part of the story is gripping., vocabulary-tag
433.  Er versucht , alles selbst zu machen. ,  He tries to do everything on his own., vocabulary-tag
434.  Wir sind in etwa einer Stunde da. ,  We will be there in about an hour., vocabulary-tag
435.  Die Ruhe in den Bergen ist entspannend. ,  The quiet in the mountains is relaxing., vocabulary-tag
436.  Sie hat ein hübsches Gesicht . ,  She has a pretty face ., vocabulary-tag
437.  Niemand möchte dieses Spiel verlieren . ,  No one wants to lose this game., vocabulary-tag
438.  Um die Prüfung zu bestehen, musst du viel lernen . ,  In order to pass the exam, you have to learn a lot., vocabulary-tag
439.  Ich werde meinen Großeltern einen Brief schreiben . ,  I will write a letter to my grandparents., vocabulary-tag
440.  Nächste Woche fahren wir nach Florida! ,  Next week we are going to Florida!, vocabulary-tag
441.  Sie ist die Erste , die etwas gesagt hat. ,  She ist the first one to say something, vocabulary-tag
442.  Du hast nur einen Versuch . ,  You only have one attempt ., vocabulary-tag
443.  Auf dem Schiff befinden sich viele Leute. ,  There are many people on the ship ., vocabulary-tag
444.  Sie werden in fünf Minuten gehen. ,  They will leave in five minutes., vocabulary-tag
445.  Äh , ich bin mir nicht sicher. ,  Um , I am not sure., vocabulary-tag
446.  Während der Nacht hat es geregnet. ,  It rained during the night., vocabulary-tag
447.  Ich bin hier noch nie gewesen . ,  I have never been here., vocabulary-tag
448.  Sie hat vier Brüder. ,  She has four brothers., vocabulary-tag
449.  Er möchte niemals im Ausland arbeiten. ,  He never wants to work abroad., vocabulary-tag
450.  Das war ein schöner Abend. ,  That was a nice evening., vocabulary-tag
451.  Es ist immer besser, die Wahrheit zu sagen. ,  It is always better to tell the truth ., vocabulary-tag
452.  Im Deutschen existieren verschiedene Satzarten. ,  There are various types of sentences in German., vocabulary-tag
453.  Die Armen können sich kaum etwas zu essen leisten. ,  The poor can barely afford something to eat., vocabulary-tag
454.  Die Kinder, denen du gestern deinen Basketball gegeben hast, sind hier. ,  The children, to whom you gave your basketball yesterday, are here., vocabulary-tag
455.  Er weiß nicht, wie er seine Schulden bezahlen soll. ,  He doesn’t know how to pay off his debt ., vocabulary-tag
456.  In der Schule mussten wir viel lesen . ,  At school we had to read a lot., vocabulary-tag
457.  Wo ist deine Mama ? ,  Where is your mom ?, vocabulary-tag
458.  Ich habe heute einen Dollar auf der Straße gefunden! ,  I found a dollar on the street today!, vocabulary-tag
459.  Es macht Spaß , sich mit Freunden zu treffen. ,  It is fun to meet up with friends., vocabulary-tag
460.  Es ist schön, frei zu sein. ,  It is nice to be free ., vocabulary-tag
461.  Du hast den Ernst der Lage noch immer nicht begriffen. ,  You still don’t understand the seriousness of this situation., vocabulary-tag
462.  Es ist zu früh , um aufzustehen. ,  It is too early to get up., vocabulary-tag
463.  Du verdienst mein Vertrauen nicht! ,  You don’t deserve my trust !, vocabulary-tag
464.  Er fühlt sich nicht gut und deshalb bleibt er zu Hause. ,  He doesn’t feel well and that is why he is staying at home., vocabulary-tag
465.  Wir waren gestern in der Oper. ,  We were at the opera yesterday ., vocabulary-tag
466.  Habe ich dir schon von meinem Abenteuer erzählt ? ,  Have I already told you about my adventure?, vocabulary-tag
467.  Das Auto steht zwischen zwei Bäumen. ,  The car is between two trees., vocabulary-tag
468.  Du hast ein kaltes Herz ! ,  You have a cold heart !, vocabulary-tag
469.  Danke, du bist der Beste ! ,  Thank you, you’re the best !, vocabulary-tag
470.  Dieses Zimmer hat die beste Aussicht. ,  This room has the best view., vocabulary-tag
471.  Verdammt ! Ich kann meinen Reisepass nicht finden! ,  Damn it ! I can’t find my passport!, vocabulary-tag
472.  Meine Freundin Sarah hat viele Probleme. ,  My friend Sarah has many problems., vocabulary-tag
473.  In diesen Krieg wurden viele Menschen getötet . ,  Many people were killed in this war., vocabulary-tag
474.  Ich habe dir eine Nachricht geschickt. ,  I sent you a message ., vocabulary-tag
475.  Die Temperaturen sind unter 0° gefallen. ,  Temperatures have fallen below 0°., vocabulary-tag
476.  Wir brauchen einen Plan . ,  We need a plan ., vocabulary-tag
477.  Kann man dieses Haus noch retten ? ,  Is it possible to save this house?, vocabulary-tag
478.  Er will euch beide sprechen. ,  He wants to talk to both of you., vocabulary-tag
479.  Kannst du den Ball fangen ? ,  Can you catch the ball?, vocabulary-tag
480.  Mein Bett ist wirklich gemütlich. ,  My bed is really comfortable., vocabulary-tag
481.  Du bist ein totaler Arsch ! ,  You’re such an ass !, vocabulary-tag
482.  Wir sind in den Bergen sehr glücklich . ,  We’re very happy in the mountains., vocabulary-tag
483.  Ist es möglich , den Flug zu stornieren? ,  Is it possible to cancel the flight?, vocabulary-tag
484.  Deine Entschuldigung kommt zu spät. ,  Your apology is too late., vocabulary-tag
485.  Ist das euer Wagen? -Ja, das ist unserer . ,  Is that your car? -Yes, that’s ours ., vocabulary-tag
486.  Sie wollte schon immer einen Hund haben. ,  She’s always wanted a dog ., vocabulary-tag
487.  Du kannst den Computer dort einstecken . ,  You can plug in your computer there., vocabulary-tag
488.  Dieses Buch habe ich noch nicht gelesen. ,  I haven’t read this book yet., vocabulary-tag
489.  Wohin sollen wir am Wochenende gehen? ,  Where shall we go on the weekend?, vocabulary-tag
490.  Manchmal wäre es schön, mehr Geld zu haben. ,  Sometimes it would be nice to have more money., vocabulary-tag
491.  Wenn ich Blut sehe, wird mir schlecht. ,  I feel sick when I see blood ., vocabulary-tag
492.  Kannst du mit bitte die Butter reichen ? ,  Can you please pass me the butter?, vocabulary-tag
493.  Wann ist das alles geschehen ? ,  When did this all happen ?, vocabulary-tag
494.  Ich habe ihn eben angerufen. ,  I just called him., vocabulary-tag
495.  Das Fest war wirklich unterhaltsam. ,  The party was really entertaining., vocabulary-tag
496.  Ah , jetzt verstehe ich, was du meinst! ,  Ah , now I know what you mean!, vocabulary-tag
497.  Ich habe bloß zwei Minuten Zeit. ,  I only have two minutes., vocabulary-tag
498.  Hast du diesen Pass gesehen? Er war genial! ,  Did you see this pass ? It was genius!, vocabulary-tag
499.  Er wählt die Nummer seiner Freundin. ,  He is dialing his girlfriend’s number ., vocabulary-tag
500.  Hier ist nicht genügend Platz , um Fußball zu spielen. ,  There isn’t enough space to play football here., vocabulary-tag
501.  Es ist schlimm , dass du nicht mit ihr redest. ,  It is bad you’re not talking to her., vocabulary-tag
502.  Diese Straße führt zum Rathaus. ,  This road leads to the town hall., vocabulary-tag
503.  Endlich ist Wochenende! ,  It’s the weekend at last !, vocabulary-tag
504.  Wir sollten irgendwas essen. ,  We should eat something ., vocabulary-tag
505.  Kennst du dieses Gefühl ? ,  Do you know this feeling ?, vocabulary-tag
506.  Das Glas ist voll . ,  The glass is full ., vocabulary-tag
507.  Ich kann nicht glauben, wie dumm sie ist. ,  I cannot believe how stupid she is., vocabulary-tag
508.  Sie geht gern in die Schule . ,  She likes going to school ., vocabulary-tag
509.  Fabian möchte nicht fliegen , da er Angst hat. ,  Fabian doesn’t want to fly because he is afraid., vocabulary-tag
510.  Bleib bei mir! ,  Stay with me!, vocabulary-tag
511.  Alle fanden den Film gut – außer dir! ,  Everyone liked the film – except for you!, vocabulary-tag
512.  Er ist unheimlich stark ! ,  He’s incredibly strong !, vocabulary-tag
513.  Dieses Material ist besonders hart . ,  This material is particularly hard ., vocabulary-tag
514.  Sie muss heute zum Arzt gehen. ,  She has to go and see a doctor today., vocabulary-tag
515.  Bring mir die Flasche! ,  Bring me the bottle!, vocabulary-tag
516.  Das Ziel ist, so viel Produkte wie möglich zu verkaufen. ,  The aim is to sell as many products as possible., vocabulary-tag
517.  Jede Sekund e zählt. ,  Every second counts., vocabulary-tag
518.  Diese Schuhe passen mir einfach nicht! ,  These shoes simply won’t fit me!, vocabulary-tag
519.  Sie werden alle aus dem Fenster schauen . ,  They will all look outside the window., vocabulary-tag
520.  Er würde sich gerne neue Klamotten kaufen . ,  He would like to buy new clothes., vocabulary-tag
521.  Diese Ideen klingen wunderbar! ,  These ideas sound wonderful!, vocabulary-tag
522.  Du musst mir versprechen , nichts zu sagen. ,  You have to promise me not to say anything., vocabulary-tag
523.  Du kannst die Äpfel in die Schale legen . ,  You can place the apples in the bowl., vocabulary-tag
524.  Die Ausstellung war wirklich großartig ! ,  The exhibition was really great !, vocabulary-tag
525.  Diese Menge Mehl sollte reichen. ,  This amount of flour should be enough., vocabulary-tag
526.  Heute ist es extrem heiß . ,  Today it is extremely hot ., vocabulary-tag
527.  Wir werden euch in dieser Runde schlagen ! ,  We will beat you in this round., vocabulary-tag
528.  Ich werde Angela eine Postkarte schicken . ,  I will send a postcard to Angela., vocabulary-tag
529.  Er würde seine Freundin gerne heiraten . ,  He would like to marry his girlfriend., vocabulary-tag
530.  Wir werden uns bestimmt bald wiedersehen! ,  We will certainly see each other again soon!, vocabulary-tag
531.  Das hier muss ein Traum sein! ,  This here has to be a dream !, vocabulary-tag
532.  Es war nur ein kleiner Vorfall. ,  It was just a minor incident., vocabulary-tag
533.  Zuerst dusche ich mich und dann können wir gehen. ,  I am going to shower first and then we can go., vocabulary-tag
534.  Sie werden in ihrem neuen Auto kommen. ,  They will come in their new car., vocabulary-tag
535.  Man muss das Böse bekämpfen. ,  One has to fight evil ., vocabulary-tag
536.  Ich werde noch schnell die Fenster sichern . ,  I will quickly secure the windows., vocabulary-tag
537.  In unserer Gegend regnet es oft . ,  It often rains in our area., vocabulary-tag
538.  Es hat keinen Sinn, noch weiter zu kämpfen . ,  It makes no sense to continue to fight ., vocabulary-tag
539.  Die Vorstellung wird in wenigen Minuten beginnen . ,  The performance will begin in a few minutes., vocabulary-tag
540.  Man kann nicht immer perfekt aussehen . ,  One cannot always look perfect., vocabulary-tag
541.  Das Wiedersehen war einfach herrlich! ,  The reunion was simply delightful!, vocabulary-tag
542.  Das hätte ich nie von ihm gedacht ! ,  I never would have thought that of him!, vocabulary-tag
543.  Dieses Bild gefällt mir am besten. ,  I like this image the most., vocabulary-tag
544.  Er hat uns seine Dokumente gegeben . ,  He has given us his documents., vocabulary-tag
545.  Das ist ein neues Telefon . ,  This is a new phone ., vocabulary-tag
546.  Da ist schon Butter drauf . ,  There’s already butter on it ., vocabulary-tag
547.  Mit seinen Freunden muss er oft lachen . ,  He often has to laugh with his friends., vocabulary-tag
548.  Wahrscheinlich ist sie nach Hause gegangen. ,  She probably went home., vocabulary-tag
549.  Das fühlt sich irgendwie komisch an. ,  This feels strange somehow ., vocabulary-tag
550.  Hier werden sich viele Dinge ändern . ,  Many things will change around here., vocabulary-tag
551.  Wir brauchen einen Tisch für sechs Personen. ,  We need a table for six people., vocabulary-tag
552.  Die Meldung sagt, dass es einen Fehler gibt. ,  The message says that there is an error ., vocabulary-tag
553.  Wir sollten das Sofa hierher stellen. ,  We should put the sofa here ., vocabulary-tag
554.  In dieser Serie passieren ständig komische Sachen. ,  In this series strange things happen constantly., vocabulary-tag
555.  Die Erde ist ein Planet. ,  Earth is a planet., vocabulary-tag
556.  Der König lebte in einem großen Schloss. ,  The king lived in a big castle., vocabulary-tag
557.  Sie ist bereits ins Bett gegangen. ,  She already went to bed., vocabulary-tag
558.  Ich komme nicht aus Deutschland, sondern aus der Schweiz. ,  I’m not from Germany but from Switzerland., vocabulary-tag
559.  Sie konnten das Feuer nicht löschen. ,  They couldn’t put out the fire ., vocabulary-tag
560.  Du musst dich der Katze langsam nähern. ,  You have to approach the cat slowly ., vocabulary-tag
561.  Ich möchte auch gerne am Meer wohnen . ,  I would also like to live by the sea., vocabulary-tag
562.  Wir wünschen dir eine gute Reise. ,  We wish you a pleasant journey., vocabulary-tag
563.  Kannst du bitte damit aufhören , so zu schreien? ,  Can you please stop shouting like that?, vocabulary-tag
564.  Vor Gericht muss man ehrlich sein. ,  At court one has to be honest ., vocabulary-tag
565.  Yeah , da hast Du vollkommen recht! ,  Yeah , you are completely right!, vocabulary-tag
566.  Ich würde dich gerne bitten , deine Füße vom Tisch zu nehmen. ,  I would like to ask you to take your feet off the table., vocabulary-tag
567.  Er möchte nicht auf das Ziel schießen . ,  He does not want to shoot the target., vocabulary-tag
568.  In der Hölle ist es angeblich heiß. ,  Apparently, it is hot in hell ., vocabulary-tag
569.  Möchtest du ein Stück Kuchen? ,  Would you like a piece of cake?, vocabulary-tag
570.  Du musst lauter schreien , damit sie dich hört. ,  You have to shout louder so she can hear you., vocabulary-tag
571.  Ich könnte diesen Idioten umbringen ! ,  I could kill this idiot!, vocabulary-tag
572.  Es wäre schön, wenn du mich abholen könntest. ,  It would be nice if you could pick me up., vocabulary-tag
573.  Das Geschäft verbessert sich immer mehr. ,  Business is improving more and more., vocabulary-tag
574.  Könnten Sie bitte in mein Büro kommen? ,  Could you please come to my office ?, vocabulary-tag
575.  Ich kann nicht erkären , was ich gesehen haben. ,  I canot explain what I saw., vocabulary-tag
576.  Ist das dein Kumpel ? ,  Is that your mate ?, vocabulary-tag
577.  Der Präsident sitzt an seinem Schreibtisch. ,  The president is sitting at his desk., vocabulary-tag
578.  Bitte schicke den Brief direkt an das Büro. ,  Please send the letter directly to the office., vocabulary-tag
579.  Das Alter spielt für viele Leute eine wichtige Rolle. ,  Age plays an important role for many people., vocabulary-tag
580.  Sie hat gestern Nacht kaum geschlafen. ,  She hardly slept last night., vocabulary-tag
581.  Anna kommt heute nicht - sie ist krank . ,  Anna won’t be coming today - she’s ill ., vocabulary-tag
582.  Ich möchte Ihnen das neue Team vorstellen. ,  I would like to introduce the new team to you., vocabulary-tag
583.  Wir sollten dieses ganze Zeug wegschmeißen. ,  We should throw all this stuff away., vocabulary-tag
584.  Du musst Heinrich anrufen . ,  You have to call Heinrich., vocabulary-tag
585.  Keiner hat uns gesagt, dass der Laden geschlossen hat. ,  Nobody told us that the shop is closed., vocabulary-tag
586.  Einige Mitarbeiter sind hier nicht glücklich. ,  Some employees aren’t happy here., vocabulary-tag
587.  Der Wert des Hauses wird auf 300.000 Euro geschätzt. ,  The value of the house is estimated to be 300,000 Euros., vocabulary-tag
588.  Sie möchte das Fenster öffnen . ,  She would like to open the window., vocabulary-tag
589.  Ich bin so froh , dich zu sehen! ,  I am so glad to see you!, vocabulary-tag
590.  Er fühlt sich in dieser Stadt alleine . ,  He feels alone in this city., vocabulary-tag
591.  Mir gefällt dieses Gemälde sehr. ,  I really like this painting., vocabulary-tag
592.  Das kannst du in den Müll werfen . ,  You can throw that in the bin., vocabulary-tag
593.  Am Himmel sind viele Wolken. ,  There are many clouds in the sky ., vocabulary-tag
594.  Du kannst dich auf einen tollen Tag am Strand freuen ! ,  You can look forward to a great day at the beach!, vocabulary-tag
595.  Die Luft hier ist unheimlich frisch. ,  The air here is incredibly fresh., vocabulary-tag
596.  Meine Eltern wohnen in Frankreich. ,  My parents live in France., vocabulary-tag
597.  Liebe Marie, kannst du das bitte machen? ,  Dear Marie, can you please do that?, vocabulary-tag
598.  Sein Körpe r hat viele Muskeln. ,  His body has a lot of muscles., vocabulary-tag
599.  Man sollte nicht lügen . ,  One should not lie ., vocabulary-tag
600.  Willkommen in Deutschland! ,  Welcome to Germany!, vocabulary-tag
601.  Gehören diese Schuhe dir? ,  Do these shoes belong to you?, vocabulary-tag
602.  Dieses Produkt gibt es überall zu kaufen. ,  You can buy this product everywhere ., vocabulary-tag
603.  Hol mir ein Glas Wasser! ,  Get me a glass of water!, vocabulary-tag
604.  Wir sollten anfangen , zu singen. ,  We should start to sing., vocabulary-tag
605.  Bitte folgen Sie mir. ,  Please follow me., vocabulary-tag
606.  Der Doktor hat gesagt, dass ich im Bett bleiben muss. ,  The doctor told me to stay in bed., vocabulary-tag
607.  Du hast immer noch nicht verstanden , was ich meine. ,  You still haven’t understood what I mean., vocabulary-tag
608.  Die Party war wirklich unterhaltsam. ,  The party was really entertaining., vocabulary-tag
609.  Er ist von Hass erfüllt. ,  He is full of hatred ., vocabulary-tag
610.  Das können wir leicht ändern. ,  We can change that easily ., vocabulary-tag
611.  Ihr braucht zehn Stühle. ,  You need ten chairs., vocabulary-tag
612.  Er ist neu hier. ,  He is new here., vocabulary-tag
613.  Man kann gewinnen , wenn man ein Ass hat. ,  You can win if you have an ace., vocabulary-tag
614.  Die Tasse ist halb voll. ,  The cup is half full., vocabulary-tag
615.  Ich kenne diese Person nicht. ,  I don’t know this person ., vocabulary-tag
616.  Wann werden wir die Ergebnisse erfahren ? ,  When will we find out the results?, vocabulary-tag
617.  Die meisten meiner Schuhe sind schwarz . ,  Most of my shoes are black ., vocabulary-tag
618.  Du siehst heute sehr hübsch aus! ,  You look very pretty today!, vocabulary-tag
619.  Du musst diesen Knopf drehen . ,  You have to turn this button., vocabulary-tag
620.  Wie lange wird es dauern ? ,  How long will it take ?, vocabulary-tag
621.  Manche Menschen haben einen sechsten Sinn . ,  Some people have a sixth sense ., vocabulary-tag
622.  Das Kleid passt perfekt ! ,  The dress fits perfectly !, vocabulary-tag
623.  Das Licht in der Küche ist an. ,  The light in the kitchen is on., vocabulary-tag
624.  Das kannst du behalten . ,  You can keep that., vocabulary-tag
625.  Es ist kalt, aber ich möchte trotzdem nach draußen gehen. ,  It is cold, but I would like to go outside nevertheless ., vocabulary-tag
626.  Kannst du das bitte nochmal sagen? ,  Can you please say that again ?, vocabulary-tag
627.  Hm , ich bin mir nicht sicher, wo ich die Schlüssel gelassen habe. ,  Hm , I am not sure where I left the keys., vocabulary-tag
628.  Du wirst den Kampf gewinnen! ,  You will win the fight !, vocabulary-tag
629.  Sie geht jetzt in den Supermarkt und danach ins Kino. ,  She is going to the supermarket now and after that to the cinema., vocabulary-tag
630.  Mein Bein tut weh! ,  My leg hurts!, vocabulary-tag
631.  Sie war meistens vertrauenswürdig und genau. ,  Mostly , she was trustworthy and accurate., vocabulary-tag
632.  Er ist ein großer Mann geworden . ,  He has become a big man., vocabulary-tag
633.  Kann ich dein Handy benutzen ? ,  Can I use your cell phone?, vocabulary-tag
634.  Diese Achterbahn ist wirklich cool ! ,  This rollercoaster is really cool !, vocabulary-tag
635.  Sein Fuß ist ziemlich groß. ,  His foot is pretty big., vocabulary-tag
636.  Der Agent arbeitet für die Polizei. ,  The agent is working for the police., vocabulary-tag
637.  Das ist doch völlig verrückt! ,  That’s completely insane!, vocabulary-tag
638.  Er kennt einen lustigen Witz . ,  He knows a funny joke ., vocabulary-tag
639.  Sie hat ihm Suppe gebracht . ,  She has brought him soup., vocabulary-tag
640.  Mein Papa spielt viel Tennis. ,  My dad plays a lot of tennis., vocabulary-tag
641.  Er warf den Rest seines Kaffees in die Spüle und verließ den Raum. ,  He dumped the rest of his coffee in the sink and left the room., vocabulary-tag
642.  Wir wissen nicht, was in der Zukuft passieren wird. ,  We don’t know what will happen in the future ., vocabulary-tag
643.  Der Laden gehört meiner Tante. ,  This store belongs to my aunt., vocabulary-tag
644.  Wir haben deine Tochter getroffen . ,  We have met your daughter., vocabulary-tag
645.  Ich weiß nicht, was ich von dir erwarten kann. ,  I don’t know what I can expect from you., vocabulary-tag
646.  Der Trick hat funktioniert ! ,  The trick worked !, vocabulary-tag
647.  Er findet diesen Witz wirklich lustig . ,  He finds this joke really funny ., vocabulary-tag
648.  Sie ist schon nach Hause gegangen . ,  She has already gone home., vocabulary-tag
649.  Du solltest die Klamotten in den Schrank hängen . ,  You should hang the clothes into the wardrobe., vocabulary-tag
650.  Dein Sohn wartet dort drüben auf dich. ,  Your son is waiting for you over there ., vocabulary-tag
651.  Ich möchte gerne eine Tasse Kaffee trinken. ,  I would like to drink a cup of coffee ., vocabulary-tag
652.  Ähm , ich bin mir nicht sicher, was ich sagen soll. ,  Um , I am not sure what to say., vocabulary-tag
653.  Er kann wirklich gut singen ! ,  He can sing really well!, vocabulary-tag
654.  Wir möchten gerne mit Kreditkarte bezahlen . ,  We would like to pay by credit card., vocabulary-tag
655.  Der Schlüssel ist in meiner Tasche. ,  The key is in my bag., vocabulary-tag
656.  Wenn ich eine Million hätte, würde ich mir eine Wohnung kaufen. ,  If I had a million I would buy a flat., vocabulary-tag
657.  Ich habe dein Auto genommen . ,  I’ve taken your car., vocabulary-tag
658.  Jede Nacht schläft er auf dem Sofa ein. ,  Each night he falls asleep on the sofa., vocabulary-tag
659.  Du warst in meiner Klasse . ,  You were in my class ., vocabulary-tag
660.  Er sieht auf der Karte , wo sie sind. ,  He sees on the map where they are., vocabulary-tag
661.  Können wir irgendwo ein Wasser trinken? ,  Can we drink some water somewhere ?, vocabulary-tag
662.  Dein Verhalten ist nicht normal . ,  Your behavior is not normal ., vocabulary-tag
663.  Nachdem wir gegessen haben, gehen wir ins Theater. ,  After we’ve eaten we’ll go to the theater., vocabulary-tag
664.  Sie muss für 10 Jahre ins Gefängnis . ,  She has to go to prison for 10 years., vocabulary-tag
665.  Er hat den Befehl gegeben. ,  He gave the command ., vocabulary-tag
666.  Der Mord kam überall in den Nachrichten. ,  The murder was all over the news., vocabulary-tag
667.  Welche Jacke soll ich anziehen? ,  Which jacket should I wear?, vocabulary-tag
668.  Du bist nicht sehr an mir interessiert . ,  You’re not very interested in me., vocabulary-tag
669.  Die Arbeit ist zu stressig und deswegen werde ich kündigen. ,  The work is too stressful and because of this I will resign., vocabulary-tag
670.  Ich habe keine Ahnung, wovon du redest. ,  I have no idea what you are talking about ., vocabulary-tag
671.  Glaub nicht, dass du damit durchkommst! ,  Don’t think you’ll get away with this!, vocabulary-tag
672.  Der neue Boss ist freundlich. ,  The new boss is friendly., vocabulary-tag
673.  Dieses Foto wurde in Portugal gemacht. ,  This photo was taken in Portugal., vocabulary-tag
674.  Ich möchte dir gerne meine Eltern vorstellen . ,  I would like to introduce my parents to you., vocabulary-tag
675.  Möchtest du Vanille oder Schokolade? Du hast die Wahl ! ,  Would you like vanilla or chocolate? It’s your choice !, vocabulary-tag
676.  Ohne Untertitel kann ich den Film nicht verstehen. ,  I cannot understand the film without subtitles ., vocabulary-tag
677.  Du bist ja total verrückt! ,  You are totally crazy!, vocabulary-tag
678.  Auf dem Boot waren 50 Menschen. ,  There were 50 people on the boat ., vocabulary-tag
679.  Es ist schrecklich , dass du so krank bist. ,  It’s terrible that you’re so ill., vocabulary-tag
680.  Der General gibt uns Befehle. ,  The general gives us orders., vocabulary-tag
681.  Der Boden im Wald ist weich. ,  The ground in the forest is soft., vocabulary-tag
682.  Der Typ ist komisch . ,  This guy is funny ., vocabulary-tag
683.  Sie ist gestern getauft worden . ,  She has been baptized yesterday., vocabulary-tag
684.  Sie kann den Mund einfach nicht halten. ,  She simply cannot keep her mouth shut., vocabulary-tag
685.  Das ist ein angenehmer Gedanke . ,  That is a pleasant thought ., vocabulary-tag
686.  Kraft allein hilft uns hier nicht weiter. ,  Force alone won’t get us anywhere here., vocabulary-tag
687.  Diese Toiletten sind für Herren . ,  This is the Men’s room., vocabulary-tag
688.  Ich persönlich stimme dem nicht zu. ,  I personally don’t agree with this., vocabulary-tag
689.  Ohne einen Beweis können sie ihn nicht festnehmen. ,  Without evidence they cannot arrest him., vocabulary-tag
690.  Du bist genauso stur wie ich. ,  You’re just as stubborn as I am., vocabulary-tag
691.  Mein Onkel spricht Spanisch. ,  My uncle speaks Spanish., vocabulary-tag
692.  Der Punkt ist, dass es nicht so weiter gehen kann. ,  The point is that it cannot go on like this., vocabulary-tag
693.  Da ist ein Haar in meiner Suppe! ,  There’s a hair in my soup!, vocabulary-tag
694.  Sein Geist wird immer bei uns sein. ,  His spirit will always be with us., vocabulary-tag
695.  Wir müssen etwas früher gehen. ,  We have to leave a little earlier ., vocabulary-tag
696.  Sobald ich Zeit habe, rufe ich dich an. ,  As soon as I have time I will call you., vocabulary-tag
697.  Er ist der Liebling seiner Eltern. ,  He is his parents’ favorit ., vocabulary-tag
698.  Er möchte seine Möbel verkaufen . ,  He would like to sell his furniture., vocabulary-tag
699.  Du hast zwar recht, aber ich werde es trotzdem nicht kaufen. ,  You are right indeed , but I still won’t buy it., vocabulary-tag
700.  Er hat heute schon zehnmal angerufen . ,  He has already called ten times today., vocabulary-tag
701.  Dieses Videospiel ist sehr gefragt . ,  This video game is high in demand ., vocabulary-tag
702.  In der Wohnung ist es ziemlich kalt . ,  It’s pretty cold in the flat., vocabulary-tag
703.  Es ist mir eine Ehre , Sie kennenzulernen. ,  It is an honor to meet you., vocabulary-tag
704.  Wir sind uns einig , dass das Haus verkauft werden soll. ,  We agreed that the house should be sold., vocabulary-tag
705.  Das war keine leichte Entscheidung . ,  This wasn’t an easy decision ., vocabulary-tag
706.  Es fällt ihm schwer, auf die Fragen zu antworten . ,  He finds it difficult to answer the questions., vocabulary-tag
707.  Wir müssen diesen Raum besser nutzen. ,  We need to use this room better., vocabulary-tag
708.  Sie hatte heute Morgen Sex mit ihrem Mann. ,  This morning she had sex with her husband., vocabulary-tag
709.  Der Schmerz ist unerträglich. ,  The pain is unbearable., vocabulary-tag
710.  Ich verdiene weniger als du. ,  I earn less than you., vocabulary-tag
711.  Diese Geschichte ist unglaublich ! ,  This story is incredible !, vocabulary-tag
712.  Sie muss sofort ins Krankenhaus ! ,  She has to go to the hospital immediately!, vocabulary-tag
713.  Sie genießt ein hohes Ansehen in dieser Stadt. ,  She has a great reputation in this city., vocabulary-tag
714.  Zu viel Stolz ist nicht gut. ,  Too much pride isn’t good., vocabulary-tag
715.  Es war ein schwerer Schlag für ihn, als er von ihrem Tod erfuhr. ,  It was a great shock to him when he heard about her death., vocabulary-tag
716.  Leider habe ich diese Woche keine Zeit. ,  Unfortunately , I don’t have time this week., vocabulary-tag
717.  Der Nächste , bitte! ,  Next , please!, vocabulary-tag
